code,browser,b&w,apple,andr,twit,wind,gmail,name,annotations
1f1e8_1f1ee,images/1f1e8_1f1ee_browser.png,images/1f1e8_1f1ee_bw.png,images/1f1e8_1f1ee_apple.png,missing,missing,missing,missing,flag for Côte d’Ivoire,cote ivoire;côte ivoire;flag;ivory coast;other
1f1e8_1f1f0,images/1f1e8_1f1f0_browser.png,images/1f1e8_1f1f0_bw.png,images/1f1e8_1f1f0_apple.png,missing,missing,missing,missing,flag for Cook Islands,cook;flag;island;other
1f1e8_1f1f1,images/1f1e8_1f1f1_browser.png,images/1f1e8_1f1f1_bw.png,images/1f1e8_1f1f1_apple.png,missing,missing,missing,missing,flag for Chile,chile;flag;other
1f1e8_1f1f2,images/1f1e8_1f1f2_browser.png,images/1f1e8_1f1f2_bw.png,images/1f1e8_1f1f2_apple.png,missing,missing,missing,missing,flag for Cameroon,cameroon;flag;other
1f1e8_1f1f3,images/1f1e8_1f1f3_browser.png,images/1f1e8_1f1f3_bw.png,images/1f1e8_1f1f3_apple.png,images/1f1e8_1f1f3_andr.png,missing,images/1f1e8_1f1f3_wind.png,missing,flag for China,china;flag;other
1f1e8_1f1f4,images/1f1e8_1f1f4_browser.png,images/1f1e8_1f1f4_bw.png,images/1f1e8_1f1f4_apple.png,missing,missing,missing,missing,flag for Colombia,colombia;flag;other
1f1e8_1f1f5,images/1f1e8_1f1f5_browser.png,images/1f1e8_1f1f5_bw.png,missing,missing,missing,missing,missing,flag for Clipperton Island,clipperton;flag;island;other
1f1e8_1f1f7,images/1f1e8_1f1f7_browser.png,images/1f1e8_1f1f7_bw.png,images/1f1e8_1f1f7_apple.png,missing,missing,missing,missing,flag for Costa Rica,costa rica;flag;other
1f1e8_1f1fa,images/1f1e8_1f1fa_browser.png,images/1f1e8_1f1fa_bw.png,images/1f1e8_1f1fa_apple.png,missing,missing,missing,missing,flag for Cuba,cuba;flag;other
1f1e8_1f1fb,images/1f1e8_1f1fb_browser.png,images/1f1e8_1f1fb_bw.png,images/1f1e8_1f1fb_apple.png,missing,missing,missing,missing,flag for Cape Verde,cabo;cape;flag;other;verde
1f1e8_1f1fc,images/1f1e8_1f1fc_browser.png,images/1f1e8_1f1fc_bw.png,images/1f1e8_1f1fc_apple.png,missing,missing,missing,missing,flag for Curaçao,antilles;curacao;curaçao;flag;other
1f1e8_1f1fd,images/1f1e8_1f1fd_browser.png,images/1f1e8_1f1fd_bw.png,images/1f1e8_1f1fd_apple.png,missing,missing,missing,missing,flag for Christmas Island,christmas;flag;island;other
1f1e8_1f1fe,images/1f1e8_1f1fe_browser.png,images/1f1e8_1f1fe_bw.png,images/1f1e8_1f1fe_apple.png,missing,missing,missing,missing,flag for Cyprus,cyprus;flag;other
1f1e8_1f1ff,images/1f1e8_1f1ff_browser.png,images/1f1e8_1f1ff_bw.png,images/1f1e8_1f1ff_apple.png,missing,missing,missing,missing,flag for Czech Republic,czech republic;flag;other
1f1e9_1f1ea,images/1f1e9_1f1ea_browser.png,images/1f1e9_1f1ea_bw.png,images/1f1e9_1f1ea_apple.png,images/1f1e9_1f1ea_andr.png,missing,images/1f1e9_1f1ea_wind.png,missing,flag for Germany,flag;germany;other
1f1e9_1f1ec,images/1f1e9_1f1ec_browser.png,images/1f1e9_1f1ec_bw.png,missing,missing,missing,missing,missing,flag for Diego Garcia,diego garcia;flag;other
1f1e9_1f1ef,images/1f1e9_1f1ef_browser.png,images/1f1e9_1f1ef_bw.png,images/1f1e9_1f1ef_apple.png,missing,missing,missing,missing,flag for Djibouti,djibouti;flag;other
1f1e9_1f1f0,images/1f1e9_1f1f0_browser.png,images/1f1e9_1f1f0_bw.png,images/1f1e9_1f1f0_apple.png,missing,missing,missing,missing,flag for Denmark,denmark;flag;other
